"Step","spotify-RLSum_LO - utility","spotify-RLSum_LO - utility__MIN","spotify-RLSum_LO - utility__MAX","spotify-RLSum_HI - utility","spotify-RLSum_HI - utility__MIN","spotify-RLSum_HI - utility__MAX","spotify-RLSum_BL - utility","spotify-RLSum_BL - utility__MIN","spotify-RLSum_BL - utility__MAX","spotify-RLSum_DC - utility","spotify-RLSum_DC - utility__MIN","spotify-RLSum_DC - utility__MAX","spotify-RLSum_IC - utility","spotify-RLSum_IC - utility__MIN","spotify-RLSum_IC - utility__MAX"
"28","10.325795518846709","10.325795518846709","10.325795518846709","1.2153333181392036","1.2153333181392036","1.2153333181392036","10.441298922855038","10.441298922855038","10.441298922855038","4.21144741617835","4.21144741617835","4.21144741617835","14.284646284157526","14.284646284157526","14.284646284157526"
"29","4.2978967980595755","4.2978967980595755","4.2978967980595755","9.223860350999981","9.223860350999981","9.223860350999981","5.118761299454726","5.118761299454726","5.118761299454726","8.029366204692264","8.029366204692264","8.029366204692264","6.515406715592676","6.515406715592676","6.515406715592676"
"30","5.971025295833336","5.971025295833336","5.971025295833336","11.192170040103374","11.192170040103374","11.192170040103374","8.30366328728145","8.30366328728145","8.30366328728145","8.75014967091039","8.75014967091039","8.75014967091039","8.33001875089218","8.33001875089218","8.33001875089218"
"31","5.032785095607656","5.032785095607656","5.032785095607656","10.584489608357817","10.584489608357817","10.584489608357817","6.972686186315365","6.972686186315365","6.972686186315365","10.872116501496063","10.872116501496063","10.872116501496063","7.247967509243713","7.247967509243713","7.247967509243713"
"32","11.121179313007085","11.121179313007085","11.121179313007085","5.094378168241657","5.094378168241657","5.094378168241657","4.630427651172711","4.630427651172711","4.630427651172711","9.059385016620984","9.059385016620984","9.059385016620984","6.266057622367016","6.266057622367016","6.266057622367016"
"33","11.375597985529154","11.375597985529154","11.375597985529154","7.855309269018528","7.855309269018528","7.855309269018528","7.136445835272341","7.136445835272341","7.136445835272341","10.378744322900396","10.378744322900396","10.378744322900396","11.63539722402451","11.63539722402451","11.63539722402451"
"34","7.167369444206567","7.167369444206567","7.167369444206567","12.285973123329684","12.285973123329684","12.285973123329684","10.721293912187997","10.721293912187997","10.721293912187997","10.031631423424866","10.031631423424866","10.031631423424866","6.809079211285779","6.809079211285779","6.809079211285779"
"35","6.895455819808271","6.895455819808271","6.895455819808271","10.181518885945323","10.181518885945323","10.181518885945323","7.452385455835564","7.452385455835564","7.452385455835564","9.507208108421393","9.507208108421393","9.507208108421393","5.570925016494461","5.570925016494461","5.570925016494461"
"36","10.081819055999317","10.081819055999317","10.081819055999317","10.072797344950668","10.072797344950668","10.072797344950668","4.583445630046052","4.583445630046052","4.583445630046052","1.7447740590978076","1.7447740590978076","1.7447740590978076","7.744999396740274","7.744999396740274","7.744999396740274"
"37","12.308184016219592","12.308184016219592","12.308184016219592","13.274844600706803","13.274844600706803","13.274844600706803","8.790288385576627","8.790288385576627","8.790288385576627","8.348150215595187","8.348150215595187","8.348150215595187","11.29402708172486","11.29402708172486","11.29402708172486"
